,ZCTA,All_death,Heart_death
888,94301,123.0,21.0
889,94303,263.0,59.0
890,94304,45.0,
891,94305,15.0,0.0
892,94306,159.0,27.0
893,94401,234.0,66.0
894,94402,179.0,45.0
895,94403,290.0,69.0
896,94404,189.0,50.0
897,94501,474.0,94.0
898,94502,83.0,17.0
899,94503,134.0,34.0
900,94505,96.0,15.0
901,94506,128.0,17.0
902,94507,109.0,20.0
903,94508,22.0,
904,94509,540.0,95.0
905,94510,190.0,33.0
906,94511,37.0,
907,94512,0.0,0.0
908,94513,389.0,67.0
909,94514,14.0,
910,94515,63.0,
911,94517,88.0,11.0
912,94518,235.0,40.0
913,94519,137.0,27.0
914,94520,255.0,55.0
915,94521,361.0,52.0
916,94523,270.0,58.0
917,94525,35.0,
918,94526,239.0,32.0
919,94530,199.0,40.0
920,94531,285.0,55.0
921,94533,604.0,104.0
922,94534,286.0,40.0
923,94536,432.0,78.0
924,94538,335.0,75.0
925,94539,216.0,43.0
926,94541,467.0,91.0
927,94542,70.0,11.0
928,94544,491.0,111.0
929,94545,253.0,52.0
930,94546,358.0,71.0
931,94547,141.0,19.0
932,94549,188.0,34.0
933,94550,392.0,88.0
934,94551,195.0,41.0
935,94552,99.0,22.0
936,94553,375.0,58.0
937,94555,138.0,18.0
938,94556,123.0,20.0
939,94558,620.0,160.0
940,94559,202.0,48.0
941,94560,238.0,41.0
942,94561,231.0,42.0
943,94563,132.0,22.0
944,94564,174.0,23.0
945,94565,558.0,91.0
946,94566,247.0,36.0
947,94568,200.0,34.0
948,94571,140.0,26.0
949,94572,83.0,13.0
950,94573,0.0,0.0
951,94574,82.0,20.0
952,94577,374.0,72.0
953,94578,262.0,55.0
954,94579,168.0,35.0
955,94580,213.0,47.0
956,94582,99.0,16.0
957,94583,209.0,37.0
958,94585,184.0,19.0
959,94587,443.0,98.0
960,94588,166.0,31.0
961,94589,279.0,47.0
962,94590,310.0,59.0
963,94591,436.0,65.0
964,94595,399.0,82.0
965,94596,150.0,27.0
966,94597,140.0,28.0
967,94598,277.0,59.0
968,94599,112.0,28.0
969,94601,326.0,50.0
970,94602,219.0,50.0
971,94603,228.0,58.0
972,94605,361.0,65.0
973,94606,216.0,46.0
974,94607,198.0,32.0
975,94608,197.0,44.0
976,94609,151.0,38.0
977,94610,207.0,43.0
978,94611,280.0,68.0
979,94612,144.0,33.0
980,94613,0.0,0.0
981,94618,105.0,19.0
982,94619,193.0,51.0
983,94621,230.0,40.0
984,94702,145.0,30.0
985,94703,97.0,22.0
986,94704,48.0,0.0
987,94705,107.0,23.0
988,94706,94.0,24.0
989,94707,95.0,19.0
990,94708,76.0,16.0
991,94709,42.0,15.0
992,94710,46.0,
993,94801,185.0,32.0
994,94803,205.0,43.0
995,94804,294.0,49.0
996,94805,81.0,22.0
997,94806,405.0,84.0
998,94850,0.0,0.0
999,94901,253.0,43.0
1000,94903,352.0,62.0
1001,94904,118.0,29.0
1002,94920,104.0,18.0
1003,94924,11.0,
1004,94925,74.0,19.0
1005,94928,277.0,61.0
1006,94930,51.0,14.0
1007,94931,62.0,
1008,94937,13.0,
1009,94939,54.0,14.0
1010,94940,0.0,0.0
1011,94941,200.0,41.0
1012,94945,130.0,22.0
1013,94947,206.0,38.0
1014,94949,137.0,27.0
1015,94951,30.0,
1016,94952,277.0,73.0
1017,94954,308.0,71.0
1018,94956,12.0,
1019,94960,98.0,15.0
1020,94964,15.0,0.0
1021,94965,86.0,17.0
1022,95003,175.0,32.0
1023,95004,36.0,
1024,95005,46.0,
1025,95006,67.0,13.0
1026,95008,327.0,60.0
1027,95010,83.0,19.0
1028,95012,51.0,
1029,95014,341.0,87.0
1030,95018,45.0,
1031,95019,38.0,
1032,95020,379.0,71.0
1033,95023,320.0,53.0
1034,95030,95.0,19.0
1035,95032,187.0,47.0
1036,95033,45.0,0.0
1037,95035,298.0,51.0
1038,95037,263.0,54.0
1039,95039,15.0,
1040,95045,37.0,
1041,95046,33.0,
1042,95050,199.0,40.0
1043,95051,309.0,57.0
1044,95053,0.0,0.0
1045,95054,96.0,28.0
1046,95060,307.0,67.0
1047,95062,303.0,50.0
1048,95064,0.0,0.0
1049,95065,72.0,19.0
1050,95066,106.0,19.0
1051,95070,250.0,48.0
1052,95073,61.0,11.0
1053,95076,500.0,99.0
1054,95110,74.0,12.0
1055,95111,309.0,50.0
1056,95112,287.0,47.0
1057,95113,16.0,0.0
1058,95116,263.0,52.0
1059,95117,153.0,30.0
1060,95118,214.0,42.0
1061,95119,51.0,18.0
1062,95120,202.0,41.0
1063,95121,218.0,42.0
1064,95122,239.0,35.0
1065,95123,360.0,61.0
1066,95124,317.0,60.0
1067,95125,415.0,86.0
1068,95126,185.0,38.0
1069,95127,363.0,56.0
1070,95128,269.0,46.0
1071,95129,234.0,48.0
1072,95130,60.0,11.0
1073,95131,114.0,19.0
1074,95132,206.0,39.0
1075,95133,158.0,32.0
1076,95134,43.0,0.0
1077,95135,188.0,36.0
1078,95136,206.0,42.0
1079,95138,64.0,16.0
1080,95139,42.0,
1081,95148,233.0,46.0
1082,95202,100.0,22.0
1083,95203,145.0,27.0
1084,95204,344.0,64.0
1085,95205,268.0,50.0
1086,95206,416.0,95.0
1087,95207,478.0,106.0
1088,95209,399.0,82.0
1089,95210,324.0,64.0
1090,95211,0.0,0.0
